star_rating	helpful_votes	total_votes	review_headline	review_date
5	0	0	Best ever	8/22/2015
5	0	0	Love it	8/22/2015
4	0	0	I wish it was a little bit stronger and a ...	8/20/2015
5	0	0	Five Stars	8/20/2015
3	0	1	Not very powerful but its cute!	8/17/2015
4	0	0	Great blowdryer for the price that gets the job done	8/14/2015
3	0	0	I like the dryer - I know this will sound silly ...	8/12/2015
5	0	0	Five Stars	8/11/2015
2	1	1	High setting stopped working on second use	8/11/2015
5	0	0	Awesome	8/10/2015
4	0	0	Four Stars	8/6/2015
5	0	0	Five Stars	8/4/2015
5	0	0	Five Stars	8/3/2015
5	0	0	Five Stars	8/3/2015
5	0	0	Five Stars	8/2/2015
5	0	0	Five Stars	8/1/2015
5	0	0	Five Stars	7/30/2015
5	0	0	Five Stars	7/29/2015
5	0	0	BestBUY	7/28/2015
1	0	0	Total disappointment!	7/26/2015
1	0	0	nahh	7/15/2015
4	0	0	Four Stars	7/14/2015
5	0	0	Five Stars	7/12/2015
5	0	0	Five Stars	7/12/2015
4	0	0	Four Stars	7/7/2015
3	0	0	Works as a blow drier but not as well as ...	7/4/2015
4	0	0	Pretty decent power	7/3/2015
4	0	0	I bought this hair dryer recently but i ordered a ...	7/2/2015
5	0	0	Five Stars	7/1/2015
5	0	0	Great dryer for occasional use	6/28/2015
3	0	0	Three Stars	6/24/2015
5	0	0	great product for a great value	6/24/2015
5	0	0	Five Stars	6/22/2015
5	0	0	Five Stars	6/21/2015
5	0	0	Love it	6/20/2015
3	0	0	Three Stars	6/18/2015
4	0	0	Four Stars	6/18/2015
5	0	0	Five Stars	6/16/2015
3	0	0	Functional	6/16/2015
5	0	0	Five Stars	6/14/2015
5	0	0	It works	6/14/2015
5	0	0	Five Stars	6/11/2015
2	1	2	Would not recommend using for long period of time	6/10/2015
5	0	0	Five Stars	6/9/2015
5	0	0	Five Stars	6/4/2015
5	0	0	Totally satisfied.	6/3/2015
5	0	1	Five Stars	5/26/2015
