star_rating	helpful_votes	total_votes	review_headline	review_date
4	0	0	Not bad!!	8/25/2015
4	1	1	I love this hair dryer	8/24/2015
5	0	0	Great price!! Great dryer	8/22/2015
5	0	0	Love the retractable cord.	7/26/2015
5	0	0	Love it!	7/22/2015
5	0	0	Nice hair dryer. No complaints	7/10/2015
5	0	0	hair dryer	6/29/2015
5	0	0	Worth the investment!	6/29/2015
5	0	0	Great hair care product!	6/25/2015
3	0	0	I thought I was buying the same dryer as my ...	6/23/2015
5	0	0	Five Stars	6/23/2015
4	0	0	Great product! The retractable cord is really nice	6/21/2015
5	0	0	"Great hairdryer, great price"	6/9/2015
5	0	0	Great Hair Dryer	6/9/2015
4	0	0	It's as good as my last conair but a bit less powerful ...	6/7/2015
3	0	0	Conair 1875 Watt Blow Dryer	6/6/2015
5	0	0	It has great power.	6/5/2015
5	0	0	Best dryer. No cord getting in the way.	6/2/2015
5	0	0	My Cord Keeper is a KEEPER!	5/30/2015
5	0	0	The best hair dryer	5/28/2015
4	0	0	Good	5/17/2015
5	0	0	Five Stars	5/14/2015
5	0	0	** The Best Hair Drying Styler Ever! **	5/14/2015
5	0	0	Retractable cord and fantastic diffuser	4/28/2015
5	0	0	Great for travel!	4/26/2015
5	0	0	I bought this exact hairdryer more than 5 years ago ...	4/21/2015
5	0	0	perfect	4/20/2015
5	1	1	"Quiet, thank God"	4/19/2015
4	0	0	Still nice.	4/10/2015
5	1	2	spend the extra money on this model	3/30/2015
3	0	0	Record time drying.	3/26/2015
3	0	0	"This works good, but not as good as my old one ..."	3/25/2015
4	1	1	The Wife Likes It	3/24/2015
5	0	0	Daughter loves it.	3/20/2015
5	0	0	Five Stars	3/17/2015
4	0	1	Four Stars	3/13/2015
5	0	0	Five Stars	3/12/2015
5	0	0	Five Stars	3/7/2015
5	0	0	hair dryer is good	3/7/2015
5	0	1	This is the best hair dryer	3/6/2015
4	0	0	"May not be the color you see in sales, but it runs great!"	2/24/2015
4	1	1	Four Stars	2/22/2015
5	0	3	vacuum? or blow dryer?	2/17/2015
4	1	1	Four Stars	2/6/2015
4	0	0	I loved this blow dryer	2/5/2015
5	0	0	Five Stars	2/3/2015
5	0	0	good	2/2/2015
5	0	0	Five Stars	1/21/2015
4	2	2	It still works like the first day i had it	1/21/2015
5	0	0	The only one i'll use	1/13/2015
5	0	1	She love it!	1/9/2015
4	0	2	Four Stars	1/8/2015
3	0	2	Three Stars	1/2/2015
5	0	1	My favorite!!	1/1/2015
5	0	0	Great hair dryer	12/29/2014
3	1	1	Just Okay	12/12/2014
5	0	0	Five Stars	12/9/2014
3	0	0	Three Stars	12/8/2014
5	0	0	"Works great, but it makes our apartment fuse blow every ..."	12/3/2014
4	0	0	Four Stars	11/23/2014
5	0	0	yes you must get one.	11/20/2014
4	0	0	Great hair dryer	11/4/2014
5	0	0	This Conair product is my favorite. This is the best dryer	10/26/2014
5	0	0	Five Stars	10/13/2014
5	0	0	Five Stars	10/2/2014
4	0	0	Four Stars	10/2/2014
5	0	0	... for almost a year every day and still works fine!	9/28/2014
4	0	0	Four Stars	9/27/2014
4	0	0	It works great. Live the retractable cord	9/25/2014
5	0	0	great dryer	9/7/2014
5	0	0	I love this hair dryer	9/6/2014
5	0	0	Just what I needed	9/4/2014
4	0	0	"I got this to replace one just like it, because I love the hair dryer"	8/27/2014
3	0	0	Three Stars	8/25/2014
