star_rating	helpful_votes	total_votes	review_headline	review_date
5	0	1	Nice hairdryer that works very well.	8/31/2015
5	0	0	Five Stars	8/26/2015
5	0	0	Mom Loves It!	8/25/2015
5	0	0	Five Stars	8/25/2015
5	0	0	Great product.  My wife loves it.	8/24/2015
5	0	0	Five Stars	8/21/2015
4	0	0	Four Stars	8/21/2015
5	0	0	So light and easy to use!	8/19/2015
4	0	0	Works very well. I just wish it had a ...	8/17/2015
1	0	0	Waste of Money	8/17/2015
5	0	0	Five Stars	8/14/2015
5	0	0	everything about it seems great.	8/12/2015
5	0	0	Your Hair Will LOOK AMAZING!	8/9/2015
5	0	0	Love it.	8/8/2015
4	0	0	Great performance	8/7/2015
5	0	0	Five Stars	8/7/2015
5	1	1	My wife loves it (I did good on this one)	8/7/2015
3	0	0	No cool shot	8/2/2015
5	0	0	Good hair dryer	7/28/2015
5	0	0	Good dryer	7/28/2015
2	0	0	Two Stars	7/27/2015
3	0	0	Piss poor attachment design	7/27/2015
5	0	0	Five Stars	7/27/2015
5	0	0	Co air blow dryer	7/27/2015
5	0	0	best blow dryer	7/23/2015
4	0	0	Four Stars	7/22/2015
5	0	0	Great dryer	7/22/2015
4	0	1	Four Stars	7/21/2015
5	0	0	Five Stars	7/20/2015
5	0	1	Five Stars	7/20/2015
5	0	0	works great. Don't know how it does it	7/19/2015
5	0	0	Since 2011 and going strong!	7/18/2015
5	0	0	Excellent	7/13/2015
5	0	1	Five Stars	7/6/2015
2	0	0	The dryer is good. Just wish the attachments stayed in place	7/4/2015
3	0	0	Nothing Special	6/29/2015
5	0	1	Finally - Dry Hair without Frizz!	6/28/2015
4	0	0	I don't like that the diffuser doesn't prevent my hair from blowing ...	6/25/2015
3	1	1	"Cheap, but marginal at best..."	6/25/2015
3	0	0	Three Stars	6/21/2015
5	3	4	Improved My Hair Style	6/19/2015
5	0	0	Good	6/19/2015
5	0	1	Best hair dryer I have ever purchased	6/13/2015
5	0	2	Five Stars	6/11/2015
5	0	0	Dry your hair!	6/11/2015
5	0	0	A good buy	6/10/2015
5	0	0	Awesome dryer!	6/9/2015
1	10	12	What a disappointment!	6/8/2015
5	2	2	Don't ask Dogs their opinions	6/7/2015
5	0	0	Five Stars	6/1/2015
5	0	0	Five Stars	5/30/2015
3	1	1	... heat selector buttons are not toggle or rocker switch like other ones it seems to wobble when operated and ...	5/26/2015
5	1	1	Works like a dream! Buttons should be reversed...	5/24/2015
4	0	0	Four Stars	5/24/2015
5	0	0	Just what I wanted	5/20/2015
3	0	0	Three Stars	5/18/2015
4	0	0	Very powerful and the low heat setting is definitely low ...	5/15/2015
5	0	0	Five Stars	5/15/2015
5	0	0	Five Stars	5/14/2015
5	0	0	Great Quality	5/12/2015
5	0	0	Five Stars	5/11/2015
5	0	0	Five Stars	5/10/2015
4	0	0	Four Stars	5/10/2015
3	0	0	Works well and the power is good.	5/9/2015
5	0	0	Best hairdryer I have ever used	5/7/2015
3	0	0	Fair	5/6/2015
3	0	0	No difference	5/6/2015
3	0	0	Bleck - Buy Something of Better Quality	5/2/2015
5	1	2	Great all round purchase	4/30/2015
4	0	0	this hair buyer is wonderful. My hair is seriously prone to being frizzy	4/28/2015
5	1	1	Five Stars	4/27/2015
1	1	1	Burned out about 4 months after I bought it. ...	4/25/2015
4	0	0	Four Stars	4/24/2015
5	0	0	This hair dryer is light weight and works awesome! I love the multiple settings and the size ...	4/20/2015
5	0	0	Five Stars	4/16/2015
4	0	0	good dryer	4/14/2015
5	0	0	Five Stars	4/14/2015
4	0	0	It works	4/12/2015
1	2	3	Paid for New but got Used	4/11/2015
4	0	0	Value for money	4/11/2015
5	0	0	Five Stars	4/10/2015
5	0	0	Love this dryer especially the cool setting which I use ...	4/10/2015
4	0	0	Meh. It's fine...	4/9/2015
3	0	0	Just an okay purchase	4/9/2015
4	0	0	Four Stars	4/4/2015
5	0	0	Five Stars	4/3/2015
5	0	0	Five Stars	3/30/2015
2	0	0	Frizzy mess	3/27/2015
5	0	0	Five Stars	3/24/2015
5	0	0	Great Blowdryer	3/24/2015
5	0	0	Tourmaline Ceramic Hair Dryer Work Great - Cuts Down on Frizz	3/24/2015
4	0	0	Great hairdryer	3/21/2015
5	0	0	this is the best!!	3/21/2015
4	0	0	It Dries My Hair	3/20/2015
4	0	0	"Good for daily, personal use."	3/20/2015
5	0	0	Perfect Hair Dryer at a Reasonable Price (~$24)	3/19/2015
4	0	0	Four Stars	3/18/2015
5	0	0	I liked it so much I brought it home and took ...	3/17/2015
5	0	0	Dries my hair super fast. Nice feel to the dryer	3/15/2015
4	0	0	Great Value/Results! But Packaging Peels Over Time.	3/13/2015
5	0	0	Five Stars	3/12/2015
4	0	0	Four Stars	3/12/2015
5	0	0	Love the power	3/11/2015
4	0	0	Four Stars	3/11/2015
5	0	0	Five Stars	3/8/2015
4	0	0	It's a blow dryer	3/6/2015
5	0	0	Pretty good. It's been a while	3/6/2015
5	0	0	Five Stars	3/5/2015
5	0	0	great hair dryer	2/28/2015
5	0	0	amazing what a difference this hair dryer makes	2/27/2015
5	0	0	Five Stars	2/25/2015
2	2	2	Flawed	2/24/2015
5	0	0	Five Stars	2/24/2015
5	0	0	I did my research before buying a new hairdryer and ...	2/22/2015
5	0	0	Good blow dryer	2/21/2015
5	0	0	Five Stars	2/21/2015
4	0	0	This hair dryer is quieter than my old one and definitely dries my hair pretty fast. My only problem with it is that ...	2/19/2015
5	0	0	Five Stars	2/18/2015
5	0	1	Five Stars	2/16/2015
3	0	0	Didn't like the buttons	2/15/2015
1	2	3	Plastic junk. The speed and heat setting buttons are ...	2/13/2015
5	0	0	Good dryer.	2/13/2015
5	0	0	Five Stars	2/12/2015
5	0	0	Love it!	2/11/2015
5	0	0	Five Stars	2/10/2015
4	0	0	This dryer has great Hot/Warm/Cold settings and makes my hair shiny and not ...	2/10/2015
5	0	0	Five Stars	2/9/2015
5	0	0	Five Stars	2/9/2015
4	0	0	Works very well. Just got it about 3 months ...	2/8/2015
5	0	1	Five Stars	2/4/2015
5	2	2	Five Stars	2/1/2015
5	0	1	Five Stars	2/1/2015
5	0	0	Five Stars	2/1/2015
5	1	1	Powerful and light	1/29/2015
5	0	0	Excelent	1/29/2015
5	0	1	Five Stars	1/27/2015
5	0	0	Five Stars	1/24/2015
5	0	1	Five Stars	1/23/2015
5	0	0	Worked well	1/21/2015
5	1	1	Great product temp settings size weight color and diffuser	1/14/2015
5	0	2	Five Stars	1/13/2015
5	2	3	"Great for window kits, and also for hair"	1/12/2015
5	0	2	Five Stars	1/11/2015
1	5	6	"The dryer itself was just fine, just that damn clear coating paint looked awful ..."	1/11/2015
5	0	2	Five Stars	1/11/2015
4	1	1	lots of power - works Fast!	1/9/2015
5	0	1	Five Stars	1/8/2015
5	0	1	Good quality.	1/7/2015
5	0	0	Great dryer	1/7/2015
5	0	0	I wanted one that blows hard and I could control ...	1/6/2015
3	0	0	Otherwise it would be a great hair dryer	1/5/2015
5	0	0	Five Stars	1/3/2015
5	0	0	Five Stars	1/2/2015
5	0	0	Five Stars	1/2/2015
3	0	0	Handles well	12/31/2014
5	0	0	Five Stars	12/30/2014
5	0	0	Five Stars	12/30/2014
5	0	0	Five Stars	12/27/2014
4	0	0	Four Stars	12/27/2014
5	1	1	Five Stars	12/26/2014
5	0	0	Powerful	12/25/2014
2	1	1	did not like it at all..	12/25/2014
5	0	0	The dryer is really good but came with a missing part (diffuser) but as ...	12/22/2014
4	0	0	A good product at a good price!	12/21/2014
5	0	0	Five Stars	12/21/2014
5	0	0	Five Stars	12/19/2014
2	0	0	Didn't last as long as the previous model	12/19/2014
5	0	0	This hair dryer has a lot of power and dries ...	12/17/2014
5	0	0	Love this hairdryer	12/16/2014
5	0	0	Five Stars	12/14/2014
5	0	0	very much satisfied	12/13/2014
5	0	0	conair	12/13/2014
5	0	0	Awesome blow dryer!	12/11/2014
4	0	1	Four Stars	12/8/2014
2	0	0	Not Hot Enough	12/7/2014
4	0	2	Four Stars	12/5/2014
3	76	90	"Short weak arms look elsewhere, otherwise OK"	12/2/2014
5	0	0	Very good for this price	12/1/2014
4	0	0	Solid Hairdryer	11/28/2014
5	1	1	Love it!	11/25/2014
4	0	0	the hair dryer has worked great. I gave it only four stars because it ...	11/22/2014
3	0	0	Three Stars	11/22/2014
5	0	0	... loves it and it works so I guess it's great.	11/20/2014
5	0	0	Five Stars	11/19/2014
2	1	1	Disappointed	11/18/2014
5	0	0	A Review by my Beautiful Wife	11/17/2014
3	1	1	Buttons are flimsy and odd	11/9/2014
5	1	1	Five Stars	11/7/2014
3	0	0	Conair 1875 Watt Tourmaline Ceramic Hair Dryer	11/6/2014
4	0	0	"Great dryer, weird peely covering."	11/5/2014
2	1	1	"Dryer itself works fine, but The on off and temperature switches are ..."	11/3/2014
5	0	0	Good dryer	11/1/2014
5	0	0	Awesome Hair Drier!	10/23/2014
4	0	0	Four Stars	10/22/2014
5	0	0	"The wife loved it so, that;s what counts right?"	10/20/2014
5	0	0	pretty good blow dryer	10/16/2014
4	0	0	Four Stars	10/10/2014
5	0	1	Five Stars	10/9/2014
5	0	0	Great Value!	10/7/2014
5	0	0	Five Stars	10/7/2014
2	0	0	Not worth the money	10/7/2014
4	0	0	I love the cool setting which I use to dry my ...	9/28/2014
5	1	1	Five Stars	9/24/2014
5	0	0	Good hair dryer!	9/22/2014
4	1	1	Four Stars	9/21/2014
3	1	1	Three Stars	9/20/2014
5	0	0	Girlfriend and lady friend both use it.	9/19/2014
5	0	0	Excellent product!	9/19/2014
5	0	0	Five Stars	9/19/2014
4	0	0	Four Stars	9/13/2014
5	0	0	Five Stars	9/13/2014
3	0	0	Disappointing purchase	9/11/2014
5	0	0	Five Stars	9/10/2014
4	0	0	"Great price, cheaply made!"	9/6/2014
1	7	9	Died within minutes	8/27/2014
5	0	1	Five Stars	8/27/2014
1	1	4	One Star	8/26/2014
5	0	0	"Great price, hair looks good!"	8/25/2014
3	0	0	it works fine and I like the flat black finish	8/23/2014
5	0	1	Good Hair Dryer	8/22/2014
4	0	0	It Dries Hair	8/21/2014
3	0	0	Three Stars	8/20/2014
5	0	0	Five Stars	8/20/2014
4	0	0	so far so good..	8/18/2014
3	0	0	Three Stars	8/15/2014
5	0	0	Perfect for both of our diverse needs	8/15/2014
5	0	0	Have had this hair dryer for years and love it. Gets nice and hot without burning me	8/14/2014
5	2	2	Great hair dryer at a great price!	8/10/2014
5	0	0	Five Stars	8/6/2014
4	5	6	One major flaw	8/3/2014
5	0	0	Five Stars	8/1/2014
5	0	0	Five Stars	8/1/2014
5	1	1	Love the rubberized exterior which makes handling easier	8/1/2014
4	0	0	Four Stars	7/31/2014
2	6	7	Switch is very flimsy	7/30/2014
4	1	1	So far so good. No complaints as such	7/29/2014
4	1	1	I don't care for the toggle switch that goes between ...	7/27/2014
5	0	0	Five Stars	7/25/2014
3	1	1	just ok.	7/20/2014
1	2	3	"The concentration attachment falls off repeatedly, and I mean ..."	7/18/2014
5	0	0	Works well and is recommended.	7/10/2014
5	1	1	I like the different settings of the dryer	7/8/2014
3	0	0	Three Stars	7/7/2014
4	0	0	Good product...	7/2/2014
5	0	0	BUY IT NOW! you wont regret it	7/1/2014
5	0	0	This is a great dryer! I have been using it almost daily ...	6/29/2014
5	0	0	Great dryer	6/28/2014
4	0	0	Hair Dryer	6/20/2014
5	0	0	Best hair dryer I've owned	6/18/2014
5	0	0	"Works quickly, and is pretty quiet!"	6/7/2014
5	0	0	A perfect buy	6/7/2014
1	13	17	"Short coord, styling attachment doesn't attach"	6/6/2014
5	0	0	Several years of great service	6/4/2014
5	1	1	Recommended	5/20/2014
2	3	3	Cheap	5/17/2014
4	1	1	Great blowdryer for the price	5/14/2014
5	0	0	just right 4 me	5/10/2014
5	1	1	Good hairdryer	5/9/2014
5	0	0	Quiet-ish and soft to the touch	5/9/2014
5	0	0	love it	5/7/2014
5	0	0	Works great	5/6/2014
5	0	0	Great Hairdryer!	5/5/2014
4	0	0	Replacement for heavier ceramic dryer	4/29/2014
4	0	0	SO - SO	4/29/2014
5	0	0	Very satisfied	4/27/2014
5	0	0	Great Hair Dryer!!!	4/21/2014
4	0	0	Lightweight and quiet	4/17/2014
1	2	3	Finish on Handle and Base Cracks But Not Soon Enough to Return	4/16/2014
4	0	0	good buy!!	4/15/2014
4	0	0	blown away	4/12/2014
3	1	1	It does dry your hair well but has annoying features	4/8/2014
5	0	0	As Advertised	4/5/2014
3	0	0	Nice hair dryer	3/22/2014
5	1	1	EXCELLENT HAIR DRYER	3/20/2014
5	0	0	Works great!	3/19/2014
4	0	0	Almost perfect	3/18/2014
5	0	0	Affordable and does the job	3/18/2014
5	0	0	Great product....Great Price :)	3/15/2014
4	0	0	Does what it's supposed to	3/13/2014
5	0	0	GREAT DRYER	3/12/2014
5	1	1	Conair 1875 Watt Hair Drier	3/4/2014
5	1	1	A+ SELLER	3/4/2014
5	1	1	Blew me away	3/1/2014
5	1	1	Everything expected	2/16/2014
5	0	0	Great Hair Dryer	2/14/2014
5	0	0	Great dryer...	2/12/2014
5	0	0	heavy	2/9/2014
5	1	1	like it	2/4/2014
4	0	0	good product	2/3/2014
4	1	1	Good product.	2/2/2014
